el abrigo,coat,
la blusa,blouse,
la bolsa,purse; bag,
la bota,boot,
el calcetín (los calcetines),sock(s),
la camisa,shirt,
la camiseta,t-shirt,
la cartera,wallet,
la chaqueta,jacket,
el cinturón,belt,
la corbata,tie,
la falda,skirt,
las gafas (de sol),(sun)glasses,
los guantes,gloves,
el impermeable,raincoat,
los (blue) jeans,jeans,
las medias,pantyhose; stockings,
los pantalones,pants,
los pantalones cortos,shorts,
la ropa,clothes,
la ropa interior,underwear,
las sandalias,sandals,
el sombrero,hat,
el suéter,sweater,
el traje,suit,
el traje de baño,bathing suit,
el vestido,dress,
los zapatos de tenis,sneakers,
el almacén,department store,
la caja,cash register,
el centro comercial,shopping mall,
el/la cliente/a,customer,
comprar en línea,to buy online,
costar (o:ue),to cost,
el/la dependiente/a,clerk,
el dinero,money,
(en) efectivo,cash,
gastar,to spend (money),
hacer juego (con),to match (with),
llevar,to wear; to take,
el mercado,market,
el mercado al aire libre,(open-air) market,
pagar,to pay,
un par (de zapatos),a pair (of shoes),
el precio (fijo),(fixed; set) price,
la rebaja,sale,
el regalo,gift,
regatear,to bargain,
la tarjeta de crédito,credit card,
la tarjeta de débito,debit card,
la tienda,store,
usar,to wear; to use,
el/la vendedor(a),salesperson,
vender,to sell,
amarillo/a,yellow,
anaranjado/a,orange,
azul,blue,
blanco/a,white,
el color,color,
gris,gray,
marrón; café,brown,
morado/a,purple,
negro/a,black,
rojo/a,red,
rosado/a,pink,
verde,green,
barato/a,cheap,
bueno/a,good,
cada,each,
caro/a,expensive,
corto/a,short (in length),
elegante,elegant,
hermoso/a,beautiful,
largo/a,long,
loco/a,crazy,
nuevo/a,new,
otro/a,other; another,
pobre,poor,
rico/a,rich,
acabar de (+ inf.),to have just done something,
el año pasado,last year,
anoche,last night,
anteayer,the day before yesterday,
ayer,yesterday,
de repente,suddenly,
desde,from,
dos veces,twice,
hasta,until,
pasado/a (adj.),last; past,
prestar,to lend; to loan,
la semana pasada,last week,
una vez,once,
ya,already,
conducir,to drive,
conocer,to know; to be acquainted with,
dar,to give,
ofrecer,to offer,
parecer,to seem,
saber,to know; to know how,
traducir,to translate,
